rvt+rvt ff125 result,,,,,,,,,,,,,,,
BL0 current target: 8.73e-06A,,,,,,,,,,,,,,,
BL1 current target: 34.91e-06A,,,,,,,,,,,,,,,
vdd,vbstn,vbstp,vhold,drt,taccess,twrite,temp,width,BL0_current @ rwl,BL1_current @ rwl,BL0 voltage swing,BL1 voltage swing,VBL0_calculated,VBL1_calculated,BLM
0.77,0,0.77,0.385,5.00E-06,3.00E-10,3.00E-10,125,2.50E-08,2.20E-05,9.68E-06,3.88E-01,1.71E-01,3.82E-01,5.99E-01,-2.17E-01
0.77,0,0.87,0.385,5.00E-06,3.00E-10,3.00E-10,125,2.50E-08,2.84E-05,1.33E-05,5.02E-01,2.35E-01,2.68E-01,5.35E-01,-2.67E-01
0.77,0,0.97,0.385,5.00E-06,3.00E-10,3.00E-10,125,2.50E-08,3.58E-05,1.53E-05,6.31E-01,2.70E-01,1.39E-01,5.00E-01,-3.61E-01
0.77,-0.1,0.77,0.385,5.00E-06,3.00E-10,3.00E-10,125,2.50E-08,2.11E-05,9.67E-06,3.71E-01,1.71E-01,3.99E-01,5.99E-01,-2.01E-01
0.77,-0.2,0.77,0.385,5.00E-06,3.00E-10,3.00E-10,125,2.50E-08,2.04E-05,9.68E-06,3.61E-01,1.71E-01,4.09E-01,5.99E-01,-1.90E-01
0.77,0,0.97,0.385,1.00E-06,3.00E-10,3.00E-10,125,2.50E-08,3.27E-05,3.61E-05,5.77E-01,6.38E-01,1.93E-01,1.32E-01,6.04E-02
0.77,0,0.77,0.385,1.00E-06,3.00E-10,3.00E-10,125,2.50E-08,2.03E-05,2.35E-05,3.58E-01,4.14E-01,4.12E-01,3.56E-01,5.63E-02
0.77,0,0.77,0.385,5.00E-06,3.00E-10,3.00E-10,125,1.50E-08,1.72E-05,8.12E-06,3.03E-01,1.43E-01,4.67E-01,6.27E-01,-1.59E-01
0.77,0,0.87,0.385,5.00E-06,3.00E-10,3.00E-10,125,1.50E-08,2.19E-05,1.18E-05,3.86E-01,2.09E-01,3.84E-01,5.61E-01,-1.77E-01
0.77,0,0.97,0.385,5.00E-06,3.00E-10,3.00E-10,125,1.50E-08,2.73E-05,1.41E-05,4.81E-01,2.48E-01,2.89E-01,5.22E-01,-2.33E-01
0.77,0,0.77,0.385,1.00E-06,3.00E-10,3.00E-10,125,1.50E-08,1.59E-05,1.76E-05,2.81E-01,3.11E-01,4.89E-01,4.59E-01,3.04E-02
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
