"for ids, igidl",Output,Min,Max,Mean,Median,Std Dev,,"for ids, igidl",Output,Mean,Std Dev,for igtot,Output,Mean,Std Dev
pmos: vds= vdd to vdd/2,rvtnfet_ids,1.08E-09,2.75E-08,6.98E-09,6.31E-09,3.33E-09,,pmos: vds= vdd to vdd/2,rvtnfet_ids,3.85E-13,1.86E-13,pmos: vds= vdd to vdd/2,rvtnfet_ids,1.13E-04,4.63E-06
nmos vds= vdd/2 to 0,rvtnfet_igtot,-4.36E-12,-4.36E-12,-4.36E-12,-4.36E-12,4.27E-17,,nmos vds= vdd to vdd/2,rvtnfet_igtot,-2.94E-11,1.12E-18,nmos vds= vdd/2 to 0,rvtnfet_igtot,6.92E-11,4.16E-12
pmos gate=vdd,rvtnfet_igidl,7.65E-14,7.65E-14,7.65E-14,7.65E-14,1.82E-18,,pmos gate=vdd,rvtnfet_igidl,2.87E-10,1.17E-17,pmos gate=0,rvtnfet_igidl,1.21E-101,0
nmos gate=0,rvtnfet_vth,2.68E-01,3.92E-01,3.26E-01,3.26E-01,1.73E-02,,nmos gate=0,rvtnfet_vth,3.26E-01,1.73E-02,nmos gate=vdd,rvtnfet_vth,3.27E-01,1.72E-02
,lvtnfet_ids,1.55E-08,2.52E-07,6.60E-08,5.89E-08,3.23E-08,,,lvtnfet_ids,3.76E-12,1.90E-12,,lvtnfet_ids,1.42E-04,5.22E-06
,lvtnfet_igtot,-4.37E-12,-4.37E-12,-4.37E-12,-4.37E-12,6.16E-17,,,lvtnfet_igtot,-2.95E-11,nan,,lvtnfet_igtot,5.58E-11,3.16E-12
,lvtnfet_igidl,5.06E-14,5.07E-14,5.06E-14,5.06E-14,1.24E-17,,,lvtnfet_igidl,1.94E-10,nan,,lvtnfet_igidl,7.89E-102,0
,lvtnfet_vth,1.79E-01,2.88E-01,2.36E-01,2.36E-01,1.85E-02,,,lvtnfet_vth,2.36E-01,1.85E-02,,lvtnfet_vth,2.37E-01,1.84E-02
,mvtnfet_ids,3.90E-09,7.42E-08,1.86E-08,1.67E-08,9.51E-09,,,mvtnfet_ids,1.02E-12,5.29E-13,,mvtnfet_ids,1.27E-04,4.97E-06
,mvtnfet_igtot,-4.36E-12,-4.36E-12,-4.36E-12,-4.36E-12,6.11E-17,,,mvtnfet_igtot,-2.94E-11,6.21E-19,,mvtnfet_igtot,6.41E-11,3.91E-12
,mvtnfet_igidl,6.73E-14,6.74E-14,6.74E-14,6.74E-14,4.65E-18,,,mvtnfet_igidl,2.55E-10,1.22E-17,,mvtnfet_igidl,1.11E-101,0
,mvtnfet_vth,2.37E-01,3.47E-01,2.92E-01,2.93E-01,1.81E-02,,,mvtnfet_vth,2.92E-01,1.81E-02,,mvtnfet_vth,2.93E-01,1.81E-02
,slvtnfet_ids,6.53E-08,1.28E-06,3.62E-07,3.27E-07,1.80E-07,,,slvtnfet_ids,1.95E-11,1.09E-11,,slvtnfet_ids,1.60E-04,5.93E-06
,slvtnfet_igtot,-4.34E-12,-4.34E-12,-4.34E-12,-4.34E-12,3.94E-16,,,slvtnfet_igtot,-2.93E-11,1.16E-18,,slvtnfet_igtot,5.25E-11,2.86E-12
,slvtnfet_igidl,3.65E-14,3.69E-14,3.68E-14,3.68E-14,5.55E-17,,,slvtnfet_igidl,1.83E-10,7.03E-18,,slvtnfet_igidl,1.21E-101,0
,slvtnfet_vth,1.08E-01,2.30E-01,1.66E-01,1.66E-01,1.87E-02,,,slvtnfet_vth,1.66E-01,1.87E-02,,slvtnfet_vth,1.67E-01,1.86E-02
,vlvtnfet_ids,3.44E-08,7.69E-07,1.62E-07,1.46E-07,7.79E-08,,,vlvtnfet_ids,7.91E-12,4.08E-12,,vlvtnfet_ids,1.53E-04,6.18E-06
,vlvtnfet_igtot,-4.37E-12,-4.37E-12,-4.37E-12,-4.37E-12,3.98E-17,,,vlvtnfet_igtot,-2.95E-11,1.52E-18,,vlvtnfet_igtot,5.70E-11,2.98E-12
,vlvtnfet_igidl,4.27E-14,4.29E-14,4.29E-14,4.29E-14,2.65E-17,,,vlvtnfet_igidl,1.87E-10,nan,,vlvtnfet_igidl,1.01E-101,0
,vlvtnfet_vth,1.33E-01,2.49E-01,1.96E-01,1.95E-01,1.75E-02,,,vlvtnfet_vth,1.96E-01,1.75E-02,,vlvtnfet_vth,1.96E-01,1.75E-02
,nswnfetpd_ids,5.66E-11,1.19E-09,3.31E-10,2.93E-10,1.81E-10,,,nswnfetpd_ids,8.65E-15,4.73E-15,,nswnfetpd_ids,5.52E-05,2.91E-06
,nswnfetpd_igtot,-5.96E-13,-5.96E-13,-5.96E-13,-5.96E-13,2.30E-18,,,nswnfetpd_igtot,-4.07E-12,0,,nswnfetpd_igtot,6.57E-12,2.45E-13
,nswnfetpd_igidl,1.21E-47,1.21E-47,1.21E-47,1.21E-47,0,,,nswnfetpd_igidl,1.32E-10,nan,,nswnfetpd_igidl,1.53E-102,0
,nswnfetpd_vth,2.72E-01,3.82E-01,3.25E-01,3.25E-01,1.85E-02,,,nswnfetpd_vth,3.25E-01,1.85E-02,,nswnfetpd_vth,3.25E-01,1.85E-02
