Test,Output,Min,Max,Mean,Median,Std Dev,Spec,Pass/Fail
hyuntest_lkg_tb_1_spectre,rvtnfet_ids,1.079e-9,27.48e-9,6.983e-9,6.313e-9,3.329e-9,,
hyuntest_lkg_tb_1_spectre,rvtnfet_igtot,-4.361e-12,-4.36e-12,-4.36e-12,-4.36e-12,42.72e-18,,
hyuntest_lkg_tb_1_spectre,rvtnfet_igidl,76.48e-15,76.49e-15,76.49e-15,76.49e-15,1.824e-18,,
hyuntest_lkg_tb_1_spectre,rvtnfet_vth,267.6e-3,392e-3,326.1e-3,326e-3,17.27e-3,,
hyuntest_lkg_tb_1_spectre,lvtnfet_ids,15.46e-9,251.5e-9,65.98e-9,58.85e-9,32.31e-9,,
hyuntest_lkg_tb_1_spectre,lvtnfet_igtot,-4.373e-12,-4.372e-12,-4.373e-12,-4.372e-12,61.55e-18,,
hyuntest_lkg_tb_1_spectre,lvtnfet_igidl,50.56e-15,50.65e-15,50.63e-15,50.63e-15,12.35e-18,,
hyuntest_lkg_tb_1_spectre,lvtnfet_vth,179.1e-3,288.1e-3,236.3e-3,236.3e-3,18.45e-3,,
hyuntest_lkg_tb_1_spectre,mvtnfet_ids,3.896e-9,74.18e-9,18.64e-9,16.65e-9,9.505e-9,,
hyuntest_lkg_tb_1_spectre,mvtnfet_igtot,-4.361e-12,-4.36e-12,-4.36e-12,-4.36e-12,61.08e-18,,
hyuntest_lkg_tb_1_spectre,mvtnfet_igidl,67.32e-15,67.36e-15,67.35e-15,67.35e-15,4.654e-18,,
hyuntest_lkg_tb_1_spectre,mvtnfet_vth,236.7e-3,347.4e-3,292.3e-3,292.8e-3,18.11e-3,,
hyuntest_lkg_tb_1_spectre,slvtnfet_ids,65.32e-9,1.283e-6,361.5e-9,326.5e-9,180.2e-9,,
hyuntest_lkg_tb_1_spectre,slvtnfet_igtot,-4.341e-12,-4.339e-12,-4.341e-12,-4.341e-12,393.7e-18,,
hyuntest_lkg_tb_1_spectre,slvtnfet_igidl,36.54e-15,36.91e-15,36.82e-15,36.83e-15,55.53e-18,,
hyuntest_lkg_tb_1_spectre,slvtnfet_vth,107.8e-3,230.1e-3,165.9e-3,165.5e-3,18.65e-3,,
hyuntest_lkg_tb_1_spectre,vlvtnfet_ids,34.36e-9,769.3e-9,162e-9,146.4e-9,77.9e-9,,
hyuntest_lkg_tb_1_spectre,vlvtnfet_igtot,-4.373e-12,-4.372e-12,-4.372e-12,-4.372e-12,39.79e-18,,
hyuntest_lkg_tb_1_spectre,vlvtnfet_igidl,42.66e-15,42.91e-15,42.87e-15,42.88e-15,26.54e-18,,
hyuntest_lkg_tb_1_spectre,vlvtnfet_vth,133.4e-3,249.2e-3,195.5e-3,195.3e-3,17.51e-3,,
hyuntest_lkg_tb_1_spectre,nswnfetpd_ids,56.64e-12,1.193e-9,330.6e-12,293.4e-12,181e-12,,
hyuntest_lkg_tb_1_spectre,nswnfetpd_igtot,-595.8e-15,-595.8e-15,-595.8e-15,-595.8e-15,2.295e-18,,
hyuntest_lkg_tb_1_spectre,nswnfetpd_igidl,12.06e-48,12.06e-48,12.06e-48,12.06e-48,0,,
hyuntest_lkg_tb_1_spectre,nswnfetpd_vth,272.4e-3,381.6e-3,325.4e-3,325.3e-3,18.52e-3,,
hyuntest_lkg_tb_1_spectre,nswnfetwl_ids,44.31e-12,1.253e-9,328.3e-12,284.7e-12,179.2e-12,,
