Test,Name,Yield,Min,Target,Max,Mean,Std Dev,Cpk,Errors
Yield Estimate: 0 %(0 passed/0 pts)     Confidence Level: <not set>   Filter: <not set>,,,,,,,,,
hyuntest_lkg_tb_1_spectre,,,,,,,,,
,rvtnfet_ids(summary),0% (0/0),0,,0,0,0,,0
,rvtnfet_igtot(summary),0% (0/0),0,,0,0,0,,0
,rvtnfet_igidl(summary),0% (0/0),0,,0,0,0,,0
,rvtnfet_vth(summary),0% (0/0),0,,0,0,0,,0
,lvtnfet_ids(summary),0% (0/0),0,,0,0,0,,0
,lvtnfet_igtot(summary),0% (0/0),0,,0,0,0,,0
,lvtnfet_igidl(summary),0% (0/0),0,,0,0,0,,0
,lvtnfet_vth(summary),0% (0/0),0,,0,0,0,,0
,mvtnfet_ids(summary),0% (0/0),0,,0,0,0,,0
,mvtnfet_igtot(summary),0% (0/0),0,,0,0,0,,0
,mvtnfet_igidl(summary),0% (0/0),0,,0,0,0,,0
,mvtnfet_vth(summary),0% (0/0),0,,0,0,0,,0
,slvtnfet_ids(summary),0% (0/0),0,,0,0,0,,0
,slvtnfet_igtot(summary),0% (0/0),0,,0,0,0,,0
,slvtnfet_igidl(summary),0% (0/0),0,,0,0,0,,0
,slvtnfet_vth(summary),0% (0/0),0,,0,0,0,,0
,vlvtnfet_ids(summary),0% (0/0),0,,0,0,0,,0
,vlvtnfet_igtot(summary),0% (0/0),0,,0,0,0,,0
,vlvtnfet_igidl(summary),0% (0/0),0,,0,0,0,,0
,vlvtnfet_vth(summary),0% (0/0),0,,0,0,0,,0
,nswnfetpd_ids(summary),0% (0/0),0,,0,0,0,,0
,nswnfetpd_igtot(summary),0% (0/0),0,,0,0,0,,0
,nswnfetpd_igidl(summary),0% (0/0),0,,0,0,0,,0
,nswnfetpd_vth(summary),0% (0/0),0,,0,0,0,,0
,nswnfetwl_ids(summary),0% (0/0),0,,0,0,0,,0
,nswnfetwl_igtot(summary),0% (0/0),0,,0,0,0,,0
,nswnfetwl_igidl(summary),0% (0/0),0,,0,0,0,,0
,nswnfetwl_vth(summary),0% (0/0),0,,0,0,0,,0
,hvtpfet_ids(summary),0% (0/0),0,,0,0,0,,0
,hvtpfet_igtot(summary),0% (0/0),0,,0,0,0,,0
,hvtpfet_igidl(summary),0% (0/0),0,,0,0,0,,0
,hvtpfet_vth(summary),0% (0/0),0,,0,0,0,,0
,rvtpfet_ids(summary),0% (0/0),0,,0,0,0,,0
,rvtpfet_igtot(summary),0% (0/0),0,,0,0,0,,0
,rvtpfet_igidl(summary),0% (0/0),0,,0,0,0,,0
,rvtpfet_vth(summary),0% (0/0),0,,0,0,0,,0
,lvtpfet_ids(summary),0% (0/0),0,,0,0,0,,0
,lvtpfet_igtot(summary),0% (0/0),0,,0,0,0,,0
,lvtpfet_igidl(summary),0% (0/0),0,,0,0,0,,0
,lvtpfet_vth(summary),0% (0/0),0,,0,0,0,,0
,mvtpfet_ids(summary),0% (0/0),0,,0,0,0,,0
,mvtpfet_igtot(summary),0% (0/0),0,,0,0,0,,0
,mvtpfet_igidl(summary),0% (0/0),0,,0,0,0,,0
,mvtpfet_vth(summary),0% (0/0),0,,0,0,0,,0
,slvtpfet_ids(summary),0% (0/0),0,,0,0,0,,0
,slvtpfet_igtot(summary),0% (0/0),0,,0,0,0,,0
,slvtpfet_igidl(summary),0% (0/0),0,,0,0,0,,0
,slvtpfet_vth(summary),0% (0/0),0,,0,0,0,,0
,vlvtpfet_ids(summary),0% (0/0),0,,0,0,0,,0
,vlvtpfet_igtot(summary),0% (0/0),0,,0,0,0,,0
,vlvtpfet_igidl(summary),0% (0/0),0,,0,0,0,,0
,vlvtpfet_vth(summary),0% (0/0),0,,0,0,0,,0
,nswpfetpu_ids(summary),0% (0/0),0,,0,0,0,,0
,nswpfetpu_igtot(summary),0% (0/0),0,,0,0,0,,0
,nswpfetpu_igidl(summary),0% (0/0),0,,0,0,0,,0
,nswpfetpu_vth(summary),0% (0/0),0,,0,0,0,,0

